,expiration_timestamp,option_type,instrument_name,strike,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv
65,1591344000000,call,ETH-5JUN20-300-C,300.0,237.3,SYN.ETH-5JUN20,1590864708082,"{'volume': 4.0, 'price_change': 400.0, 'low': 0.0005, 'high': 0.0025}",open,,3.0,0.0001,0.0175,0.002894,112.34,0.0025,0.0,236.9,"{'vega': 0.03124, 'theta': -0.3163, 'rho': 0.00178, 'gamma': 0.00325, 'delta': 0.05223}",236.9,3566017707,"[[0.002, 368.0], [0.0015, 1.0], [0.0005, 8.0]]",104.85,0.002,368.0,0.004,300.0,"[[0.004, 300.0], [0.2435, 75.0], [0.25, 1.0]]",120.01
66,1608883200000,put,ETH-25DEC20-80-P,80.0,242.61,ETH-25DEC20,1590864706997,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.01,196.0,0.0001,0.0235,0.008597,91.17,0.028,0.0,236.9,"{'vega': 0.10834, 'theta': -0.02368, 'rho': -0.04703, 'gamma': 0.00035, 'delta': -0.02532}",236.9,3565990521,"[[0.0065, 40.0], [0.0055, 220.0], [0.0005, 75.0]]",86.12,0.0065,40.0,0.011,300.0,"[[0.011, 300.0], [0.0165, 74.0]]",96.2
67,1608883200000,put,ETH-25DEC20-560-P,560.0,242.61,ETH-25DEC20,1590864706997,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,1.4,1.0,1.27,1.477,1.363249,91.34,1.6245,0.0,236.9,"{'vega': 0.50266, 'theta': -0.11007, 'rho': -3.00842, 'gamma': 0.00164, 'delta': -0.80687}",236.9,3563077440,"[[0.0005, 5.0]]",0.0,0.0005,5.0,0.0,0.0,[],0.0
68,1593158400000,put,ETH-26JUN20-220-P,220.0,238.81,ETH-26JUN20,1590864709513,"{'volume': 610.0, 'price_change': -38.5185, 'low': 0.0355, 'high': 0.068}",open,0.04,651.0,0.0175,0.0725,0.039975,70.46,0.0415,0.0,236.91,"{'vega': 0.22365, 'theta': -0.29678, 'rho': -0.05891, 'gamma': 0.00765, 'delta': -0.29917}",236.91,3566023541,"[[0.0385, 160.0], [0.037, 220.0], [0.0365, 192.0], [0.033, 4.0], [0.0325, 8.0], [0.032, 8.0], [0.0125, 43.0], [0.006, 1.0]]",68.88,0.0385,160.0,0.0415,465.0,"[[0.0415, 465.0], [0.06, 32.0], [0.0885, 1.0], [0.2, 10.0], [0.241, 50.0]]",72.08
69,1591948800000,call,ETH-12JUN20-180-C,180.0,237.81,SYN.ETH-12JUN20,1590864709997,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.23,0.0,0.2205,0.272,0.245854,89.55,,0.0,236.91,"{'vega': 0.03734, 'theta': -0.13325, 'rho': 0.05845, 'gamma': 0.00214, 'delta': 0.96085}",236.91,3566021858,"[[0.243, 1.0], [0.227, 27.0]]",0.0,0.243,1.0,0.2615,27.0,"[[0.2615, 27.0]]",145.85
70,1601020800000,call,ETH-25SEP20-120-C,120.0,240.83,ETH-25SEP20,1590864710476,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.5,452.0,0.492,0.539,0.513332,85.91,0.5135,0.0,236.9,"{'vega': 0.13461, 'theta': -0.04919, 'rho': 0.34086, 'gamma': 0.00084, 'delta': 0.9528}",236.9,3565876769,"[[0.496, 38.0], [0.3, 1.0], [0.2, 1.0], [0.19, 1.0], [0.15, 1.0], [0.0935, 10.0], [0.093, 3.0]]",0.0,0.496,38.0,0.528,38.0,"[[0.528, 38.0], [0.571, 1.0], [0.581, 1.0], [0.591, 1.0], [0.601, 1.0], [0.611, 1.0], [0.6215, 1.0], [0.635, 1.0], [0.645, 1.0], [0.655, 1.0]]",107.39
71,1590998400000,call,ETH-1JUN20-230-C,230.0,237.02,SYN.ETH-1JUN20,1590864710815,"{'volume': 1.0, 'price_change': 0.0, 'low': 0.031, 'high': 0.031}",open,,1.0,0.014,0.0715,0.041229,92.01,0.031,0.0,236.9,"{'vega': 0.05344, 'theta': -1.58907, 'rho': 0.00664, 'gamma': 0.02439, 'delta': 0.70261}",236.9,3566021862,"[[0.0325, 1.0], [0.0155, 27.0]]",48.75,0.0325,1.0,0.048,1.0,"[[0.048, 1.0], [0.0545, 27.0]]",121.03
72,1591948800000,put,ETH-12JUN20-160-P,160.0,237.81,SYN.ETH-12JUN20,1590864710475,"{'volume': 120.0, 'price_change': 0.0, 'low': 0.001, 'high': 0.001}",open,0.0,125.0,0.0001,0.016,0.001091,103.14,0.001,0.0,236.9,"{'vega': 0.01677, 'theta': -0.06895, 'rho': -0.00132, 'gamma': 0.00084, 'delta': -0.01508}",236.9,3565938636,"[[0.0005, 7.0]]",92.56,0.0005,7.0,0.002,300.0,"[[0.002, 300.0], [0.0025, 100.0], [0.009, 58.0], [0.2415, 75.0]]",113.65
73,1590912000000,put,ETH-31MAY20-250-P,250.0,236.94,SYN.ETH-31MAY20,1590864711044,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.08,0.0,0.0255,0.091,0.056904,104.99,,0.0,236.9,"{'vega': 0.01573, 'theta': -0.82579, 'rho': -0.00341, 'gamma': 0.0178, 'delta': -0.90312}",236.9,3564837032,"[[0.0005, 50.0]]",0.0,0.0005,50.0,0.0,0.0,[],0.0
74,1596182400000,call,ETH-31JUL20-280-C,280.0,239.59,SYN.ETH-31JUL20,1590864711764,"{'volume': 511.0, 'price_change': 39.7727, 'low': 0.042, 'high': 0.0615}",open,0.05,551.0,0.0335,0.104,0.063783,74.31,0.0615,0.0,236.9,"{'vega': 0.3681, 'theta': -0.22221, 'rho': 0.11971, 'gamma': 0.00512, 'delta': 0.36008}",236.9,3566023426,"[[0.062, 286.0], [0.059, 192.0], [0.0585, 137.0], [0.0565, 47.0], [0.042, 1.0]]",73.15,0.062,286.0,0.0655,192.0,"[[0.0655, 192.0], [0.0835, 35.0]]",75.43
75,1593158400000,call,ETH-26JUN20-240-C,240.0,238.81,ETH-26JUN20,1590864712999,"{'volume': 2167.0, 'price_change': 102.7027, 'low': 0.032, 'high': 0.075}",open,0.06,31404.0,0.0415,0.107,0.071751,68.89,0.075,0.0,236.9,"{'vega': 0.25638, 'theta': -0.33265, 'rho': 0.07897, 'gamma': 0.00897, 'delta': 0.52637}",236.9,3566022671,"[[0.069, 308.0], [0.0675, 144.0], [0.051, 1.0], [0.0495, 37.0], [0.0195, 50.0], [0.0155, 20.0], [0.0025, 1.0], [0.0005, 50.0]]",66.35,0.069,308.0,0.0745,413.0,"[[0.0745, 413.0], [0.078, 5.0], [0.08, 11.0], [0.0805, 5.0], [0.081, 8.0], [0.0815, 8.0], [0.085, 37.0], [0.09, 5.0], [0.096, 2.0], [0.098, 2.0], [0.1, 8.0], [0.125, 5.0], [0.1265, 1.0], [0.14, 10.0], [0.15, 15.0], [0.17, 11.0], [0.19, 10.0], [0.2, 10.0], [0.896, 2.0]]",71.47
